geoname_id,name,ascii_name,feature_class,feature_code,population,admin1_code,admin2_code,latitude,longitude
763585,Nowosielce-Gniewosz,Nowosielce-Gniewosz,P,PPL,1200,80,1817,49.56842,22.06947
763945,Niemce,Niemce,P,PPLA3,3161,75,0609,51.36155,22.63939
764572,Mniszków,Mniszkow,P,PPLA3,525,74,1007,51.37017,20.03915
765747,Łukowa,Lukowa,P,PPL,1200,77,1216,50.093,20.97548
768002,Kosów Lacki,Kosow Lacki,P,PPLA3,2090,78,1429,52.59541,22.14707
768163,Koprzywnica,Koprzywnica,P,PPLA3,2536,84,2609,50.5934,21.5838
768827,Kołaczyce,Kolaczyce,P,PPLA3,1316,80,1805,49.80743,21.43407
768861,Kock,Kock,P,PPLA3,3484,75,0608,51.63997,22.44391
769092,Kleszczele,Kleszczele,P,PPL,1410,81,2005,52.57314,23.32539
769364,Kawęczyn Nowy,Kaweczyn Nowy,P,PPLA3,110,74,1015,51.88597,20.24703
770034,Jodłówka,Jodlowka,P,PPL,1822,80,1804,49.8943,22.46653
770269,Jastrzębia,Jastrzebia,P,PPLA3,1011,78,1425,51.49742,21.23709
770706,Jabłonna,Jablonna,P,PPLA3,6552,78,1408,52.37885,20.91745
770911,Husów,Husow,P,PPL,2000,80,1810,49.97971,22.28645
771401,Grodzisk Mazowiecki,Grodzisk Mazowiecki,P,PPLA2,26684,78,1405,52.10387,20.6337
773797,Czermin,Czermin,P,PPL,1557,80,1811,50.33911,21.33356
775138,Brzeźnica,Brzeznica,P,PPL,1171,77,1201,49.95763,20.49139
775840,Blizne,Blizne,P,PPL,3500,80,1802,49.75332,21.97351
3080007,Żórawina,Zorawina,P,PPLA3,2100,72,0223,50.9808,17.03671
3080368,Zebrzydowice,Zebrzydowice,P,PPL,1939,77,1218,49.89032,19.67291
3080696,Zapolice,Zapolice,P,PPLA3,1394,74,1019,51.54319,18.88335
3080931,Zagórnik,Zagornik,P,PPL,2119,77,1218,49.8371,19.37868
3081496,Wolbórz,Wolborz,P,PPLA3,2594,74,1010,51.50196,19.83049
3081826,Witkowo,Witkowo,P,PPLA3,7825,86,3003,52.43964,17.77264
3081832,Witkowice,Witkowice,P,PPL,2136,77,1213,49.90746,19.27963
3083725,Szemud,Szemud,P,PPLA3,1639,82,2215,54.48709,18.2228
3084353,Strzyżowice,Strzyzowice,P,PPL,1783,83,2401,50.38725,19.08038
3084440,Strzegom,Strzegom,P,PPL,16106,72,0219,50.96264,16.35006
3084516,Stronie,Stronie,P,PPL,1200,77,1218,49.83056,19.67497
3085771,Skomlin,Skomlin,P,PPL,1656,74,1017,51.17089,18.38699
3085802,Skępe,Skepe,P,PPLA3,3539,73,0408,52.86798,19.35604
3086001,Sieniawa,Sieniawa,P,PPL,1929,77,1211,49.53947,19.93014
3086469,Rzeczenica,Rzeczenica,P,PPL,1566,82,2203,53.7579,17.10752
3087203,Reńska Wieś,Renska Wies,P,PPLA3,1800,79,1603,50.31587,18.12607
3087256,Rędziny,Redziny,P,PPL,4753,83,2404,50.85922,19.2162
3087520,Radocza,Radocza,P,PPL,1997,77,1218,49.91774,19.47498
3087906,Przodkowo,Przodkowo,P,PPL,1286,82,2205,54.37991,18.2876
3087954,Przemków,Przemkow,P,PPL,6487,72,0216,51.5253,15.79441
3089286,Pełczyce,Pelczyce,P,PPLA3,2808,87,3202,53.04354,15.30447
3089421,Parzęczew,Parzeczew,P,PPLA3,672,74,1020,51.94855,19.20608
3089681,Ostrowy nad Okszą,Ostrowy nad Oksza,P,PPL,1935,83,2406,50.97799,19.05355
3089965,Orzesze,Orzesze,P,PPLA3,18438,83,2408,50.15595,18.77923
3090007,Orle,Orle,P,PPL,1373,82,2215,54.64022,18.17057
3090048,Opole,Opole,P,PPLA,127676,79,1661,50.67211,17.92533
3090105,Olszówka,Olszowka,P,PPLA3,440,86,3009,52.1903,18.86258
3092816,Lubrza,Lubrza,P,PPLA3,995,76,0808,52.30418,15.44317
3093156,Łobodno,Lobodno,P,PPL,1810,83,2406,50.93079,18.9909
